fold,held_out,model,channel,hand,horizon_step,metric,value,n_frames,config_hash
0,S01,persistence,F_R,right,all,HD_ratio_vs_persistence,1.0,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,all,SS_vs_seasonal,0.006861398496094129,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,all,HD_ratio_vs_seasonal,0.9972393200723917,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,all,SS_vs_ar,-0.08964776601740931,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,all,HD_ratio_vs_ar,1.1208566535412257,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,all,SS_vs_probgru,0.016171853455276497,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,all,HD_ratio_vs_probgru,1.030367927850679,32388,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,1,MSE,9.889593937558994e-06,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,1,MAE,0.002232399130856286,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,1,SS_vs_persistence,1.0111637593901435e-07,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,1,SS_vs_seasonal,0.24560326499873342,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,1,SS_vs_ar,-0.07146443106550482,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,1,SS_vs_probgru,0.2642880036787011,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,2,MSE,1.6302370438032494e-05,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,2,MAE,0.0028819002643916797,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,2,SS_vs_persistence,6.13407689087353e-08,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,2,SS_vs_seasonal,0.1476445965931169,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,2,SS_vs_ar,-0.11347602186062034,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,2,SS_vs_probgru,0.18736236429824404,22076,2ec2ba37fa8cbb0b
